transcript_id	transcript_length	transcript_source	evalue	score_type	symbol	blast_symbol	blast_description	target_species
dd_Smed_v6_1319_0_1	1683	PLDB	1.00E-168	e-value	NP_002737.2	MAPK3 ERK-1 ERK1 ERT2 HS44KDAP HUMKER1A P44ERK1 P44MAPK PRKM3 p44-ERK1 p44-MAPK	mitogen-activated protein kinase 3	Homo sapiens
dd_Smed_v6_13209_0_1	1493	PLDB	8.00E-72	e-value	NP_002551.2	P2RX4 P2X4 P2X4R	purinergic receptor P2X 4	Homo sapiens
dd_Smed_v6_13215_0_1	1708	PLDB	7.00E-38	e-value	NP_003097.1	SOX2 ANOP3 MCOPS3	SRY-box 2	Homo sapiens
dd_Smed_v6_13216_0_1	1753	PLDB	3.00E-14	e-value	NP_057356.1	TOB2 TOB4 TOBL TROB2	"transducer of ERBB2, 2"	Homo sapiens
dd_Smed_v6_1322_0_1	1760	PLDB	2.00E-82	e-value	NP_036457.1	MAPRE1 EB1	microtubule associated protein RP/EB family member 1	Homo sapiens
dd_Smed_v6_13263_0_1	1816	PLDB	8.00E-79	e-value	XP_005266261.1	CDC16 ANAPC6 APC6 CUT9	cell division cycle 16	Homo sapiens
dd_Smed_v6_13341_0_1	1886	PLDB	1.00E-33	e-value	NP_075044.2	BCL11A BCL11A-L BCL11A-S BCL11A-XL BCL11a-M CTIP1 EVI9 HBFQTL5 ZNF856	B-cell CLL/lymphoma 11A (zinc finger protein)	Homo sapiens
dd_Smed_v6_1343_0_1	3235	PLDB	0	e-value	NP_476516.1	NAA15 Ga19 NARG1 NAT1P NATH TBDN TBDN100	"N(alpha)-acetyltransferase 15, NatA auxiliary subunit"	Homo sapiens
dd_Smed_v6_13481_0_1	673	PLDB	5.00E-13	e-value	NP_001225.1	CAV3 LGMD1C LQT9 VIP-21 VIP21	caveolin 3	Homo sapiens
dd_Smed_v6_13509_0_1	1885	PLDB	2.00E-10	e-value	NP_000612.1	HTR2A 5-HT2A HTR2	5-hydroxytryptamine receptor 2A	Homo sapiens
dd_Smed_v6_13540_0_1	1455	PLDB	1.00E-27	e-value	NP_201572.1	RASL10B RRP17 VTS58635	RAS like family 10 member B	Homo sapiens
dd_Smed_v6_13574_0_1	1761	PLDB	4.00E-32	e-value	NP_620419.2	SDR16C5 RDH#2 RDH-E2 RDHE2	"short chain dehydrogenase/reductase family 16C, member 5"	Homo sapiens
dd_Smed_v6_1358_0_1	971	PLDB	7.00E-09	e-value	NP_054785.2	COMMD5 HCARG	COMM domain containing 5	Homo sapiens
dd_Smed_v6_13597_0_1	1198	PLDB	0	e-value	NP_002722.1	PRKACB PKA C-beta PKACB	protein kinase cAMP-activated catalytic subunit beta	Homo sapiens
dd_Smed_v6_13697_0_1	4108	PLDB	1.00E-104	e-value	XP_006712206.1	NRXN1 Hs.22998 PTHSL2 SCZD17	neurexin 1	Homo sapiens
dd_Smed_v6_13720_0_1	1472	PLDB	2.00E-75	e-value	NP_002551.2	P2RX4 P2X4 P2X4R	purinergic receptor P2X 4	Homo sapiens
dd_Smed_v6_13738_0_1	2124	PLDB	4.00E-39	e-value	NP_005021.2	PLK1 PLK STPK13	polo like kinase 1	Homo sapiens
dd_Smed_v6_13754_0_1	624	PLDB	3.00E-25	e-value	NP_003920.1	RAB29 RAB7L RAB7L1	"RAB29, member RAS oncogene family"	Homo sapiens
dd_Smed_v6_13772_0_1	1633	PLDB	6.00E-47	e-value	NP_002754.2	PROX1	prospero homeobox 1	Homo sapiens
dd_Smed_v6_13788_0_1	1318	PLDB	2.00E-54	e-value	NP_003876.1	CDK5R1 CDK5P35 CDK5R NCK5A p23 p25 p35 p35nck5a	"cyclin-dependent kinase 5, regulatory subunit 1 (p35)"	Homo sapiens
dd_Smed_v6_13804_0_1	2200	PLDB	2.00E-105	e-value	NP_690043.1	ACE ACE1 CD143 DCP DCP1 ICH MVCD3	angiotensin I converting enzyme	Homo sapiens
dd_Smed_v6_13807_0_1	2617	PLDB	7.00E-13	e-value	NP_001130008.2	DTHD1	death domain containing 1	Homo sapiens
dd_Smed_v6_13845_0_1	942	PLDB	3.00E-31	e-value	NP_056291.2	TPGS2 C18orf10 L17 PGs2	tubulin polyglutamylase complex subunit 2	Homo sapiens
dd_Smed_v6_13944_0_1	3231	PLDB	1.00E-10	e-value	NP_003026.2	STIL MCPH7 SIL	SCL/TAL1 interrupting locus	Homo sapiens
dd_Smed_v6_1398_1_1	1686	PLDB	0	e-value	NP_000166.2	GPI AMF GNPI NLK PGI PHI SA-36 SA36	glucose-6-phosphate isomerase	Homo sapiens
dd_Smed_v6_13991_0_1	1433	PLDB	3.00E-10	e-value	NP_001750.1	CCND2 KIAK0002	cyclin D2	Homo sapiens
dd_Smed_v6_14038_0_1	2269	PLDB	6.00E-38	e-value	NP_065682.2	PLEKHG5 CMTRIC DSMA4 GEF720 Syx Tech	pleckstrin homology and RhoGEF domain containing G5	Homo sapiens
dd_Smed_v6_14068_0_1	1141	PLDB	2.00E-09	e-value	NP_005441.1	NOG SYM1 SYNS1	noggin	Homo sapiens
dd_Smed_v6_14115_0_1	1502	PLDB	1.00E-29	e-value	NP_796372.1	LMX1A LMX1 LMX1.1	"LIM homeobox transcription factor 1, alpha"	Homo sapiens
dd_Smed_v6_14134_0_1	1198	PLDB	1.00E-70	e-value	NP_001777.1	CDK1 CDC2 CDC28A P34CDC2	cyclin-dependent kinase 1	Homo sapiens
dd_Smed_v6_14176_0_1	1876	PLDB	1.00E-12	e-value	XP_005260524.1	SALL4 DRRS HSAL4 ZNF797 dJ1112F19.1	spalt-like transcription factor 4	Homo sapiens
dd_Smed_v6_141_0_1	1924	PLDB	0	e-value	NP_002147.2	HSPD1 CPN60 GROEL HLD4 HSP-60 HSP60 HSP65 HuCHA60 SPG13	heat shock protein family D (Hsp60) member 1	Homo sapiens
dd_Smed_v6_14261_0_1	668	PLDB	4.00E-12	e-value	NP_001159.2	BIRC5 API4 EPR-1	baculoviral IAP repeat containing 5	Homo sapiens
dd_Smed_v6_14267_0_1	1907	PLDB	6.00E-48	e-value	NP_075594.1	FGFR1 BFGFR CD331 CEK FGFBR FGFR-1 FLG FLT-2 FLT2 HBGFR HH2 HRTFDS KAL2 N-SAM OGD bFGF-R-1	fibroblast growth factor receptor 1	Homo sapiens
dd_Smed_v6_1427_0_1	1223	PLDB	3.00E-48	e-value	XP_006723245.1	HPN TMPRSS1	hepsin	Homo sapiens
dd_Smed_v6_1428_0_1	791	PLDB	5.00E-124	e-value	NP_001269314.1	CSNK2B CK2B CK2N CSK2B G5A	casein kinase 2 beta	Homo sapiens
dd_Smed_v6_1432_0_1	7239	PLDB	0	e-value	NP_001191332.1	ANK3 ANKYRIN-G MRT37	"ankyrin 3, node of Ranvier (ankyrin G)"	Homo sapiens
dd_Smed_v6_1432_0_10	3630	PLDB	7.00E-89	e-value	NP_001140.2	ANK3 ANKYRIN-G MRT37	"ankyrin 3, node of Ranvier (ankyrin G)"	Homo sapiens
dd_Smed_v6_1432_0_11	3002	PLDB	6.00E-90	e-value	NP_001140.2	ANK3 ANKYRIN-G MRT37	"ankyrin 3, node of Ranvier (ankyrin G)"	Homo sapiens
dd_Smed_v6_1432_0_12	2805	PLDB	2.00E-90	e-value	NP_001140.2	ANK3 ANKYRIN-G MRT37	"ankyrin 3, node of Ranvier (ankyrin G)"	Homo sapiens
dd_Smed_v6_1432_0_2	6414	PLDB	0	e-value	NP_001191332.1	ANK3 ANKYRIN-G MRT37	"ankyrin 3, node of Ranvier (ankyrin G)"	Homo sapiens
dd_Smed_v6_1432_0_3	6222	PLDB	0	e-value	NP_001191332.1	ANK3 ANKYRIN-G MRT37	"ankyrin 3, node of Ranvier (ankyrin G)"	Homo sapiens
dd_Smed_v6_1432_0_4	6025	PLDB	0	e-value	NP_001191332.1	ANK3 ANKYRIN-G MRT37	"ankyrin 3, node of Ranvier (ankyrin G)"	Homo sapiens
dd_Smed_v6_1432_0_5	5397	PLDB	0	e-value	NP_001191332.1	ANK3 ANKYRIN-G MRT37	"ankyrin 3, node of Ranvier (ankyrin G)"	Homo sapiens
dd_Smed_v6_1432_0_6	5200	PLDB	0	e-value	NP_001191332.1	ANK3 ANKYRIN-G MRT37	"ankyrin 3, node of Ranvier (ankyrin G)"	Homo sapiens
dd_Smed_v6_1432_0_7	4844	PLDB	7.00E-88	e-value	NP_001140.2	ANK3 ANKYRIN-G MRT37	"ankyrin 3, node of Ranvier (ankyrin G)"	Homo sapiens
dd_Smed_v6_1432_0_8	4019	PLDB	1.00E-88	e-value	NP_001140.2	ANK3 ANKYRIN-G MRT37	"ankyrin 3, node of Ranvier (ankyrin G)"	Homo sapiens
dd_Smed_v6_1432_0_9	3827	PLDB	1.00E-88	e-value	NP_001140.2	ANK3 ANKYRIN-G MRT37	"ankyrin 3, node of Ranvier (ankyrin G)"	Homo sapiens
dd_Smed_v6_14331_0_1	3486	PLDB	0	e-value	NP_000897.3	NPR1 ANPRA ANPa GUC2A GUCY2A NPRA	natriuretic peptide receptor 1	Homo sapiens
dd_Smed_v6_14482_0_1	1452	PLDB	2.00E-50	e-value	NP_000729.2	CHRM1 HM1 M1 M1R	cholinergic receptor muscarinic 1	Homo sapiens
dd_Smed_v6_14502_0_1	1152	PLDB	3.00E-58	e-value	NP_060064.2	DIRAS2 Di-Ras2	DIRAS family GTPase 2	Homo sapiens
dd_Smed_v6_14510_0_1	788	PLDB	2.00E-40	e-value	NP_004152.1	RAB1A RAB1 YPT1	"RAB1A, member RAS oncogene family"	Homo sapiens
dd_Smed_v6_14510_0_2	757	PLDB	4.00E-56	e-value	NP_004152.1	RAB1A RAB1 YPT1	"RAB1A, member RAS oncogene family"	Homo sapiens
dd_Smed_v6_14519_0_1	1624	PLDB	6.00E-29	e-value	NP_001040.1	SSTR1 SRIF-2 SS-1-R SS1-R SS1R	somatostatin receptor 1	Homo sapiens
dd_Smed_v6_14527_0_1	957	PLDB	4.00E-18	e-value	NP_057157.1	HDGFRP3 HDGF-2 HDGF2 HRP-3	"hepatoma-derived growth factor, related protein 3"	Homo sapiens
dd_Smed_v6_14586_0_1	4334	PLDB	1.00E-139	e-value	XP_006718908.1	ATM AT1 ATA ATC ATD ATDC ATE TEL1 TELO1	ATM serine/threonine kinase	Homo sapiens
dd_Smed_v6_14598_0_1	1822	PLDB	1.00E-56	e-value	NP_004383.4	DACH1 DACH	dachshund family transcription factor 1	Homo sapiens
dd_Smed_v6_14599_0_1	1814	PLDB	3.00E-104	e-value	NP_001274425.1	FIGNL1	fidgetin like 1	Homo sapiens
dd_Smed_v6_14614_0_1	1428	PLDB	9.00E-07	e-value	NP_004611.1	TRAF6 MGC:3310 RNF85	TNF receptor associated factor 6	Homo sapiens
dd_Smed_v6_14635_0_1	1785	PLDB	4.00E-32	e-value	NP_001445.2	FOXJ1 FKHL13 HFH-4 HFH4	forkhead box J1	Homo sapiens
dd_Smed_v6_14708_0_1	1007	PLDB	1.00E-57	e-value	NP_064541.1	C1GALT1 C1GALT T-synthase	"core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1"	Homo sapiens
dd_Smed_v6_14712_0_1	1555	PLDB	3.00E-43	e-value	NP_001248368.1	ETV4 E1A-F E1AF PEA3 PEAS3	ETS variant 4	Homo sapiens
dd_Smed_v6_14730_0_1	6521	PLDB	0	e-value	NP_001005407.1	CACNA1H CACNA1HB Cav3.2 ECA6 EIG6	"calcium channel, voltage-dependent, T type, alpha 1H subunit"	Homo sapiens
dd_Smed_v6_1474_0_1	1911	PLDB	4.00E-49	e-value	XP_005259899.1	FKBP8 FKBP38 FKBPr38	"FK506 binding protein 8, 38kDa"	Homo sapiens
dd_Smed_v6_14783_0_1	1535	PLDB	4.00E-161	e-value	NP_005575.1	MAB21L1 CAGR1	mab-21-like 1 (C. elegans)	Homo sapiens
dd_Smed_v6_14785_0_1	1447	PLDB	1.00E-05	e-value	NP_940799.1	GHSR	growth hormone secretagogue receptor	Homo sapiens
dd_Smed_v6_14852_0_1	2639	PLDB	5.00E-118	e-value	NP_004813.2	NTN1 NTN1L	netrin 1	Homo sapiens
dd_Smed_v6_14865_0_1	1232	PLDB	5.00E-78	e-value	NP_110388.2	WNT4 SERKAL WNT-4	Wnt family member 4	Homo sapiens
dd_Smed_v6_14910_0_1	1470	PLDB	4.00E-21	e-value	XP_005252362.1	KLF4 EZF GKLF	Kruppel-like factor 4 (gut)	Homo sapiens
dd_Smed_v6_15022_0_1	1798	PLDB	1.00E-12	e-value	NP_006181.1	ORC2 ORC2L	origin recognition complex subunit 2	Homo sapiens
dd_Smed_v6_15035_0_1	752	PLDB	2.00E-35	e-value	NP_001442.2	FOXF1 ACDMPV FKHL5 FREAC1	forkhead box F1	Homo sapiens
dd_Smed_v6_15040_0_1	1751	PLDB	7.00E-68	e-value	NP_000515.2	HTR1A 5-HT-1A 5-HT1A 5HT1a ADRB2RL1 ADRBRL1 G-21 PFMCD	5-hydroxytryptamine receptor 1A	Homo sapiens
dd_Smed_v6_15106_0_1	1160	PLDB	1.00E-12	e-value	NP_116307.1	RERG	RAS like estrogen regulated growth inhibitor	Homo sapiens
dd_Smed_v6_15107_0_1	1176	PLDB	5.00E-48	e-value	NP_004743.1	GCM2 GCMB hGCMb	glial cells missing homolog 2	Homo sapiens
dd_Smed_v6_15308_0_1	1012	PLDB	5.00E-45	e-value	NP_114140.4	RAB34 RAB39 RAH	"RAB34, member RAS oncogene family"	Homo sapiens
dd_Smed_v6_15308_0_2	932	PLDB	7.00E-57	e-value	NP_004905.2	RAB36	"RAB36, member RAS oncogene family"	Homo sapiens
dd_Smed_v6_1534_0_1	1127	PLDB	1.00E-09	e-value	NP_940992.1	BSG 5F7 CD147 EMMPRIN M6 OK TCSF	basigin (Ok blood group)	Homo sapiens
dd_Smed_v6_1535_0_1	676	PLDB	1.00E-81	e-value	NP_003336.1	UBE2I C358B7.1 P18 UBC9	ubiquitin conjugating enzyme E2 I	Homo sapiens
dd_Smed_v6_1536_0_1	808	PLDB	1.00E-45	e-value	NP_004461.2	FKBP2 FKBP-13 PPIase	FK506 binding protein 2	Homo sapiens
dd_Smed_v6_15379_0_1	2689	PLDB	6.00E-23	e-value	NP_001130008.2	DTHD1	death domain containing 1	Homo sapiens
dd_Smed_v6_1541_0_1	964	PLDB	8.00E-117	e-value	NP_002780.1	PSMA4 HC9 HsT17706 PSC9	proteasome subunit alpha 4	Homo sapiens
dd_Smed_v6_15423_0_1	1074	PLDB	3.00E-16	e-value	NP_005441.1	NOG SYM1 SYNS1	noggin	Homo sapiens
dd_Smed_v6_15436_0_1	1632	PLDB	1.00E-101	e-value	NP_005973.1	SIX1 BOS3 DFNA23 TIP39	SIX homeobox 1	Homo sapiens
dd_Smed_v6_15469_0_1	1558	PLDB	6.00E-104	e-value	NP_116031.1	WNT5B	Wnt family member 5B	Homo sapiens
dd_Smed_v6_15471_0_1	861	PLDB	2.00E-47	e-value	NP_005973.1	SIX1 BOS3 DFNA23 TIP39	SIX homeobox 1	Homo sapiens
dd_Smed_v6_15476_0_1	2642	PLDB	0	e-value	NP_003581.1	CUL3 CUL-3 PHA2E	cullin 3	Homo sapiens
dd_Smed_v6_15524_0_1	697	PLDB	9.00E-31	e-value	NP_114432.2	BRIP1 BACH1 FANCJ OF	BRCA1 interacting protein C-terminal helicase 1	Homo sapiens
dd_Smed_v6_15551_0_1	1651	PLDB	2.00E-34	e-value	NP_036436.1	FBXL7 FBL6 FBL7	F-box and leucine-rich repeat protein 7	Homo sapiens
dd_Smed_v6_15562_0_1	1226	PLDB	1.00E-09	e-value	NP_005870.2	TRAIP RNF206 TRIP	TRAF interacting protein	Homo sapiens
dd_Smed_v6_1562_0_1	894	PLDB	1.00E-35	e-value	NP_110382.3	TMX1 PDIA11 TMX TXNDC TXNDC1	thioredoxin related transmembrane protein 1	Homo sapiens
dd_Smed_v6_1563_0_1	2074	PLDB	1.00E-27	e-value	NP_055481.1	CLINT1 CLINT ENTH EPN4 EPNR	clathrin interactor 1	Homo sapiens
dd_Smed_v6_15646_0_1	1609	PLDB	3.00E-32	e-value	NP_001240.1	ENTPD5 CD39L4 NTPDase-5 PCPH	ectonucleoside triphosphate diphosphohydrolase 5	Homo sapiens
dd_Smed_v6_15726_0_1	5318	PLDB	1.00E-96	e-value	NP_060606.3	ASPM ASP Calmbp1 MCPH5	"asp (abnormal spindle) homolog, microcephaly associated (Drosophila)"	Homo sapiens
dd_Smed_v6_1573_0_1	1026	PLDB	2.00E-74	e-value	NP_057614.1	RAB8B	"RAB8B, member RAS oncogene family"	Homo sapiens
dd_Smed_v6_15865_0_1	2638	PLDB	2.00E-46	e-value	NP_002126.2	NR4A1 GFRP1 HMR N10 NAK-1 NGFIB NP10 NUR77 TR3	"nuclear receptor subfamily 4, group A, member 1"	Homo sapiens
dd_Smed_v6_15930_0_1	2384	PLDB	4.00E-96	e-value	NP_000046.1	BCHE CHE1 CHE2 E1	butyrylcholinesterase	Homo sapiens
dd_Smed_v6_1596_0_1	1172	PLDB	2.00E-101	e-value	NP_006591.1	NUDC HNUDC MNUDC NPD011	nudC nuclear distribution protein	Homo sapiens
dd_Smed_v6_16034_0_1	1349	PLDB	6.00E-52	e-value	XP_005271301.1	CDC7 CDC7L1 HsCDC7 Hsk1 huCDC7	cell division cycle 7	Homo sapiens
dd_Smed_v6_16055_0_1	1211	PLDB	2.00E-25	e-value	NP_001043.2	SSTR4 SS-4-R SS4-R SS4R	somatostatin receptor 4	Homo sapiens
dd_Smed_v6_1608_0_1	2698	PLDB	3.00E-62	e-value	NP_060707.2	CCAR1	cell division cycle and apoptosis regulator 1	Homo sapiens
dd_Smed_v6_160_0_1	497	PLDB	5.00E-30	e-value	NP_001073331.1	DBI ACBD1 ACBP CCK-RP EP	"diazepam binding inhibitor (GABA receptor modulator, acyl-CoA binding protein)"	Homo sapiens
dd_Smed_v6_16107_0_1	893	PLDB	1.00E-11	e-value	NP_115904.1	BOK BCL2L9 BOKL	BCL2-related ovarian killer	Homo sapiens
dd_Smed_v6_16209_0_1	1582	PLDB	5.00E-35	e-value	XP_006716172.1	WNT2 INT1L1 IRP	wingless-type MMTV integration site family member 2	Homo sapiens
dd_Smed_v6_16281_0_1	1857	PLDB	7.00E-25	e-value	NP_005232.2	MECOM AML1-EVI-1 EVI1 MDS1 MDS1-EVI1 PRDM3	MDS1 and EVI1 complex locus	Homo sapiens
dd_Smed_v6_16296_0_1	2855	PLDB	9.00E-145	e-value	XP_005255182.1	CREBBP CBP KAT3A RSTS	CREB binding protein	Homo sapiens
dd_Smed_v6_1634_0_1	2289	PLDB	2.00E-25	e-value	NP_006272.2	STK3 KRS1 MST2	serine/threonine kinase 3	Homo sapiens
dd_Smed_v6_16375_0_1	911	PLDB	1.00E-53	e-value	NP_064545.1	MEIS3 MRG2	Meis homeobox 3	Homo sapiens
dd_Smed_v6_16376_0_1	2029	PLDB	2.00E-05	e-value	NP_061925.2	CCHCR1 C6orf18 HCR SBP	coiled-coil alpha-helical rod protein 1	Homo sapiens
dd_Smed_v6_16399_0_1	705	PLDB	1.00E-39	e-value	XP_005264381.1	MEIS1	Meis homeobox 1	Homo sapiens
dd_Smed_v6_16483_0_1	2726	PLDB	8.00E-109	e-value	NP_004432.1	EPHB1 ELK EPHT2 Hek6 NET	EPH receptor B1	Homo sapiens
dd_Smed_v6_16499_0_1	1917	PLDB	9.00E-19	e-value	NP_284941.2	MFN1 hfzo1 hfzo2	mitofusin 1	Homo sapiens
dd_Smed_v6_16524_0_1	1016	PLDB	4.00E-34	e-value	NP_002439.2	MSX1 ECTD3 HOX7 HYD1 STHAG1	msh homeobox 1	Homo sapiens
dd_Smed_v6_16571_0_1	3215	PLDB	1.00E-179	e-value	NP_003459.2	FZD5 C2orf31 HFZ5	frizzled class receptor 5	Homo sapiens
dd_Smed_v6_1657_0_1	1754	PLDB	6.00E-37	e-value	NP_003135.2	SSR1 TRAPA	signal sequence receptor subunit 1	Homo sapiens
dd_Smed_v6_16594_0_1	1792	PLDB	3.00E-64	e-value	NP_000515.2	HTR1A 5-HT-1A 5-HT1A 5HT1a ADRB2RL1 ADRBRL1 G-21 PFMCD	5-hydroxytryptamine receptor 1A	Homo sapiens
dd_Smed_v6_16638_0_1	2400	PLDB	2.00E-106	e-value	NP_114432.2	BRIP1 BACH1 FANCJ OF	BRCA1 interacting protein C-terminal helicase 1	Homo sapiens
dd_Smed_v6_16646_0_1	424	PLDB	5.00E-15	e-value	NP_001277335.1	TAL1 SCL TCL5 bHLHa17 tal-1	T-cell acute lymphocytic leukemia 1	Homo sapiens
dd_Smed_v6_1670_0_1	1488	PLDB	2.00E-44	e-value	XP_005255453.1	NDE1 HOM-TES-87 LIS4 MHAC NDE NUDE NUDE1	nudE neurodevelopment protein 1	Homo sapiens
dd_Smed_v6_1685_0_1	2109	PLDB	3.00E-28	e-value	NP_056146.1	NCSTN ATAG1874	nicastrin	Homo sapiens
dd_Smed_v6_1686_0_1	1690	PLDB	5.00E-83	e-value	NP_006283.1	TSG101 TSG10 VPS23	tumor susceptibility 101	Homo sapiens
dd_Smed_v6_16969_0_1	1385	PLDB	3.00E-07	e-value	NP_000612.1	HTR2A 5-HT2A HTR2	5-hydroxytryptamine receptor 2A	Homo sapiens
dd_Smed_v6_17008_0_1	1325	PLDB	3.00E-47	e-value	NP_001040.1	SSTR1 SRIF-2 SS-1-R SS1-R SS1R	somatostatin receptor 1	Homo sapiens
dd_Smed_v6_17053_0_1	1135	PLDB	7.00E-63	e-value	NP_009186.1	B4GALT7 EDSP1 XGALT1 XGPT1	"xylosylprotein beta 1,4-galactosyltransferase, polypeptide 7"	Homo sapiens
dd_Smed_v6_17114_0_1	1341	PLDB	5.00E-08	e-value	NP_004113.1	GHSR	growth hormone secretagogue receptor	Homo sapiens
dd_Smed_v6_17141_0_1	929	PLDB	3.00E-37	e-value	NP_795714.1	PPAP2A LLP1a LPP1 PAP-2a PAP2	phosphatidic acid phosphatase type 2A	Homo sapiens
dd_Smed_v6_17143_0_1	1136	PLDB	7.00E-66	e-value	NP_005985.3	TBX2	T-box 2	Homo sapiens
dd_Smed_v6_1726_0_1	2436	PLDB	0	e-value	NP_063946.2	ASAH2 BCDase HNAC1 LCDase N-CDase NCDase	N-acylsphingosine amidohydrolase (non-lysosomal ceramidase) 2	Homo sapiens
dd_Smed_v6_17308_0_1	2462	PLDB	3.00E-12	e-value	NP_001077354.2	DFNB31 CIP98 PDZD7B USH2D WHRN WI	"deafness, autosomal recessive 31"	Homo sapiens
dd_Smed_v6_17332_0_1	722	PLDB	5.00E-12	e-value	NP_001010926.1	HES5 bHLHb38	hes family bHLH transcription factor 5	Homo sapiens
dd_Smed_v6_17337_0_1	1170	PLDB	4.00E-26	e-value	NP_001153114.1	BNIPL BNIP-S BNIPL-1 BNIPL-2 BNIPL1 BNIPL2 BNIPS PP753	BCL2/adenovirus E1B 19kD interacting protein like	Homo sapiens
dd_Smed_v6_17348_0_1	2598	PLDB	2.00E-123	e-value	NP_000288.1	PKD2 APKD2 PC2 PKD4 Pc-2 TRPP2	"polycystin 2, transient receptor potential cation channel"	Homo sapiens
dd_Smed_v6_17393_0_1	1501	PLDB	8.00E-61	e-value	NP_001002295.1	GATA3 HDR HDRS	GATA binding protein 3	Homo sapiens
dd_Smed_v6_17402_0_1	1619	PLDB	2.00E-28	e-value	NP_001710.1	BMP7 OP-1	bone morphogenetic protein 7	Homo sapiens
dd_Smed_v6_17534_0_1	2331	PLDB	2.00E-89	e-value	NP_001612.1	AHR bHLHe76	aryl hydrocarbon receptor	Homo sapiens
dd_Smed_v6_17598_0_1	4704	PLDB	5.00E-29	e-value	NP_001240658.1	RXFP1 LGR7 RXFPR1	relaxin/insulin-like family peptide receptor 1	Homo sapiens
dd_Smed_v6_175_0_1	1254	PLDB	1.00E-119	e-value	NP_001324.2	CTSV CATL2 CTSL2 CTSU	cathepsin V	Homo sapiens
dd_Smed_v6_1767_0_1	843	PLDB	2.00E-08	e-value	NP_001179.1	BAK1 BAK BAK-LIKE BCL2L7 CDN1	BCL2 antagonist/killer 1	Homo sapiens
dd_Smed_v6_17726_0_1	2088	PLDB	1.00E-77	e-value	NP_000271.1	PAX6 AN AN2 D11S812E MGDA WAGR	paired box 6	Homo sapiens
dd_Smed_v6_1773_0_1	1347	PLDB	1.00E-135	e-value	NP_002061.1	GNAI2 GIP GNAI2B H_LUCA15.1 H_LUCA16.1	G protein subunit alpha i2	Homo sapiens
dd_Smed_v6_1783_0_1	2426	PLDB	2.00E-39	e-value	NP_002834.3	PTPRJ CD148 DEP1 HPTPeta R-PTP-ETA SCC1	"protein tyrosine phosphatase, receptor type J"	Homo sapiens
dd_Smed_v6_17855_0_1	225	PLDB	6.00E-05	e-value	NP_001120666.1	CNBP CNBP1 DM2 PROMM RNF163 ZCCHC22 ZNF9	CCHC-type zinc finger nucleic acid binding protein	Homo sapiens
dd_Smed_v6_17887_0_1	1909	PLDB	1.00E-12	e-value	NP_003309.2	TTK CT96 ESK MPH1 MPS1 MPS1L1 PYT	TTK protein kinase	Homo sapiens
dd_Smed_v6_180_0_1	1224	PLDB	3.00E-35	e-value	NP_003338.1	UBE2L3 E2-F1 L-UBC UBCH7 UbcM4	ubiquitin conjugating enzyme E2 L3	Homo sapiens
dd_Smed_v6_18178_0_1	1480	PLDB	1.00E-06	e-value	NP_004611.1	TRAF6 MGC:3310 RNF85	TNF receptor associated factor 6	Homo sapiens
dd_Smed_v6_18181_0_1	2151	PLDB	6.00E-99	e-value	NP_004813.2	NTN1 NTN1L	netrin 1	Homo sapiens
dd_Smed_v6_18236_0_1	1224	PLDB	3.00E-47	e-value	NP_005786.1	CALCRL CGRPR CRLR	calcitonin receptor like receptor	Homo sapiens
dd_Smed_v6_18291_0_1	979	PLDB	1.00E-19	e-value	NP_795714.1	PPAP2A LLP1a LPP1 PAP-2a PAP2	phosphatidic acid phosphatase type 2A	Homo sapiens
dd_Smed_v6_18313_0_1	3455	PLDB	0	e-value	NP_001139120.1	RASGRF1 CDC25 CDC25L GNRP GRF1 GRF55 H-GRF55 PP13187 ras-GRF1	Ras protein specific guanine nucleotide releasing factor 1	Homo sapiens
dd_Smed_v6_1835_0_1	420	PLDB	8.00E-16	e-value	NP_060932.2	BRK1 C3orf10 MDS027 hHBrk1	"BRICK1, SCAR/WAVE actin-nucleating complex subunit"	Homo sapiens
dd_Smed_v6_18389_0_1	1468	PLDB	3.00E-46	e-value	NP_005242.1	FOXC2 FKHL14 LD MFH-1 MFH1	forkhead box C2	Homo sapiens
dd_Smed_v6_18390_0_1	823	PLDB	4.00E-12	e-value	NP_115904.1	BOK BCL2L9 BOKL	BCL2-related ovarian killer	Homo sapiens
dd_Smed_v6_18393_0_1	3330	PLDB	3.00E-35	e-value	XP_006714991.1	UNC5A UNC5H1	unc-5 netrin receptor A	Homo sapiens
dd_Smed_v6_18393_0_2	3320	PLDB	3.00E-35	e-value	XP_006714991.1	UNC5A UNC5H1	unc-5 netrin receptor A	Homo sapiens
dd_Smed_v6_18393_0_3	3319	PLDB	1.00E-35	e-value	XP_006714991.1	UNC5A UNC5H1	unc-5 netrin receptor A	Homo sapiens
dd_Smed_v6_18393_0_4	3309	PLDB	1.00E-35	e-value	XP_006714991.1	UNC5A UNC5H1	unc-5 netrin receptor A	Homo sapiens
dd_Smed_v6_18465_0_1	1183	PLDB	1.00E-31	e-value	NP_001892.1	CTGF CCN2 HCS24 IGFBP8 NOV2	connective tissue growth factor	Homo sapiens
dd_Smed_v6_18505_0_1	727	PLDB	1.00E-37	e-value	NP_002439.2	MSX1 ECTD3 HOX7 HYD1 STHAG1	msh homeobox 1	Homo sapiens
