Contig.primaryIdentifier	Contig.length	Contig.blastHits.score	Contig.blastHits.blastDomain.symbol	Contig.blastHits.blastDomain.description	Contig.blastHits.blastDomain.species	Contig.blastHits.blastDomain.primaryIdentifier
dd_Smed_v6_1225_0_1	1496	2.00E-169	CSNK1A1 CK1 CK1a CKIa HEL-S-77p HLCDGP1 PRO2975	casein kinase 1 alpha 1	Homo sapiens	NP_001883.4
dd_Smed_v6_12261_0_1	3254	1.00E-179	RTEL1 C20orf41 DKCA4 DKCB5 NHL RTEL	regulator of telomere elongation helicase 1	Homo sapiens	NP_057518.1
dd_Smed_v6_12262_0_1	833	8.00E-11	NOG SYM1 SYNS1	noggin	Homo sapiens	NP_005441.1
dd_Smed_v6_1226_0_1	1726	2.00E-163	ALAS2 ALAS-E ALASE ANH1 ASB XLDPP XLEPP XLSA	"aminolevulinate, delta-, synthase 2"	Homo sapiens	NP_001033056.1
dd_Smed_v6_12274_0_1	1131	4.00E-38	KAT2B CAF P P/CAF PCAF	K(lysine) acetyltransferase 2B	Homo sapiens	XP_005265585.1
dd_Smed_v6_12275_0_1	3462	2.00E-80	DTNA D18S892E DRP3 DTN DTN-A LVNC1	"dystrobrevin, alpha"	Homo sapiens	NP_001383.2
dd_Smed_v6_12275_0_2	3416	2.00E-80	DTNA D18S892E DRP3 DTN DTN-A LVNC1	"dystrobrevin, alpha"	Homo sapiens	NP_001383.2
dd_Smed_v6_12275_0_3	3273	1.00E-80	DTNA D18S892E DRP3 DTN DTN-A LVNC1	"dystrobrevin, alpha"	Homo sapiens	NP_001383.2
dd_Smed_v6_12275_0_4	3227	1.00E-80	DTNA D18S892E DRP3 DTN DTN-A LVNC1	"dystrobrevin, alpha"	Homo sapiens	NP_001383.2
dd_Smed_v6_12278_0_1	7263	1.00E-77	ERC1 Cast2 ELKS RAB6IP2	ELKS/RAB6-interacting/CAST family member 1	Homo sapiens	NP_829883.1
dd_Smed_v6_12284_0_1	1815	1.00E-24	SLC22A3 EMT EMTH OCT3	solute carrier family 22 member 3	Homo sapiens	NP_068812.1
dd_Smed_v6_1228_0_1	1973	8.00E-85	RPS6KB2 KLS P70-beta P70-beta-1 P70-beta-2 S6K-beta2 S6K2 SRK STK14B p70(S6K)-beta p70S6Kb	ribosomal protein S6 kinase B2	Homo sapiens	NP_003943.2
dd_Smed_v6_12290_0_1	3598	4.00E-176	SLC4A11 BTR1 CDPD1 CHED2 NABC1 dJ794I6.2	"solute carrier family 4, sodium borate transporter, member 11"	Homo sapiens	NP_001167560.1
dd_Smed_v6_12290_0_2	3179	3.00E-177	SLC4A11 BTR1 CDPD1 CHED2 NABC1 dJ794I6.2	"solute carrier family 4, sodium borate transporter, member 11"	Homo sapiens	NP_001167560.1
dd_Smed_v6_12292_0_1	1330	4.00E-131	SFXN1	sideroflexin 1	Homo sapiens	NP_073591.2
dd_Smed_v6_1229_0_1	1158	9.00E-67	AK1 HTL-S-58j	adenylate kinase 1	Homo sapiens	XP_005251845.1
dd_Smed_v6_1229_0_2	1007	7.00E-73	AK1 HTL-S-58j	adenylate kinase 1	Homo sapiens	NP_000467.1
dd_Smed_v6_122_1_1	1259	2.00E-106	LIPA CESD LAL	"lipase A, lysosomal acid type"	Homo sapiens	NP_000226.2
dd_Smed_v6_12302_0_1	4114	1.00E-57	CCDC180 BDAG1 C9orf174 KIAA1529	coiled-coil domain containing 180	Homo sapiens	NP_065944.2
dd_Smed_v6_12307_0_1	4473	1.00E-109	PPFIA1 LIP.1 LIP1 LIPRIN	"protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 1"	Homo sapiens	XP_006718785.1
dd_Smed_v6_1230_0_1	1139	1.00E-61	SCGN CALBL DJ501N12.8 SECRET SEGN setagin	"secretagogin, EF-hand calcium binding protein"	Homo sapiens	NP_008929.2
dd_Smed_v6_12311_0_1	1465	4.00E-13	SLC16A12 CJMG MCT12	"solute carrier family 16, member 12"	Homo sapiens	NP_998771.3
dd_Smed_v6_12311_0_2	1418	5.00E-13	SLC16A12 CJMG MCT12	"solute carrier family 16, member 12"	Homo sapiens	NP_998771.3
dd_Smed_v6_12318_0_1	1786	7.00E-33	RBBP6 MY038 P2P-R PACT RBQ-1 SNAMA	retinoblastoma binding protein 6	Homo sapiens	NP_061173.1
dd_Smed_v6_1231_0_1	1143	4.00E-74	PSMD4 AF AF-1 ASF MCB1 Rpn10 S5A pUB-R5	"proteasome 26S subunit, non-ATPase 4"	Homo sapiens	NP_002801.1
dd_Smed_v6_12323_0_1	1966	7.00E-100	CPNE5 COPN5 CPN5	copine 5	Homo sapiens	NP_065990.1
dd_Smed_v6_12323_0_3	1252	2.00E-60	CPNE5 COPN5 CPN5	copine V	Homo sapiens	XP_005249309.1
dd_Smed_v6_12325_0_1	4240	5.00E-31	THADA GITA	thyroid adenoma associated	Homo sapiens	XP_006712132.1
dd_Smed_v6_12329_0_1	2177	2.00E-169	DHX8 DDX8 HRH1 PRP22 PRPF22	DEAH (Asp-Glu-Ala-His) box polypeptide 8	Homo sapiens	XP_005257170.1
dd_Smed_v6_12330_0_1	3090	3.00E-93	AARS2 AARSL COXPD8 MT-ALARS MTALARS	"alanyl-tRNA synthetase 2, mitochondrial"	Homo sapiens	NP_065796.1
dd_Smed_v6_12333_0_1	1410	2.00E-97	PARS2 MT-PRORS	"prolyl-tRNA synthetase 2, mitochondrial (putative)"	Homo sapiens	NP_689481.2
dd_Smed_v6_12339_0_1	1364	8.00E-27	ENKD1 C16orf48 DAKV6410	enkurin domain containing 1	Homo sapiens	NP_115516.1
dd_Smed_v6_12340_0_1	1315	1.00E-88	NIPA2	non imprinted in Prader-Willi/Angelman syndrome 2	Homo sapiens	NP_001008860.1
dd_Smed_v6_12345_0_1	1144	6.00E-26	EXOSC3 PCH1B RRP40 Rrp40p bA3J10.7 hRrp-40 p10	exosome component 3	Homo sapiens	NP_057126.2
dd_Smed_v6_12355_0_1	2091	5.00E-100	ACE ACE1 CD143 DCP DCP1 ICH MVCD3	angiotensin I converting enzyme	Homo sapiens	NP_690043.1
dd_Smed_v6_12356_0_2	733	1.00E-08	WDR91	WD repeat domain 91	Homo sapiens	NP_054868.3
dd_Smed_v6_12357_0_1	1333	1.00E-62	TRMT5 KIAA1393 TRM5	tRNA methyltransferase 5	Homo sapiens	NP_065861.3
dd_Smed_v6_12358_0_1	3302	2.00E-77	KIAA0195 TMEM94	KIAA0195	Homo sapiens	NP_055553.3
dd_Smed_v6_1235_0_1	918	3.00E-104	PSMA7 C6 HSPC RC6-1 XAPC7	"proteasome (prosome, macropain) subunit, alpha type, 7"	Homo sapiens	NP_002783.1
dd_Smed_v6_12363_0_1	4190	2.00E-52	SYDE2	"synapse defective 1, Rho GTPase, homolog 2 (C. elegans)"	Homo sapiens	XP_005271309.1
dd_Smed_v6_12365_0_1	612	1.00E-40	HIST2H2AC H2A H2A-GL101 H2A/q H2AFQ	"histone cluster 2, H2ac"	Homo sapiens	NP_003508.1
dd_Smed_v6_1236_0_1	833	5.00E-58	NTMT1 AD-003 C9orf32 HOMT1A METTL11A NRMT NTM1A	N-terminal Xaa-Pro-Lys N-methyltransferase 1	Homo sapiens	NP_054783.2
dd_Smed_v6_12371_0_1	1358	0	HDAC3 HD3 RPD3 RPD3-2	histone deacetylase 3	Homo sapiens	NP_003874.2
dd_Smed_v6_12376_0_1	1166	4.00E-14	TMC7	transmembrane channel-like 7	Homo sapiens	XP_006721157.1
dd_Smed_v6_12378_0_1	1023	1.00E-46	CCDC42B	coiled-coil domain containing 42B	Homo sapiens	NP_001138344.1
dd_Smed_v6_12379_0_1	641	4.00E-30	MED31 3110004H13Rik Soh1	mediator complex subunit 31	Homo sapiens	NP_057144.1
dd_Smed_v6_1237_0_1	700	6.00E-06	GNG7	G protein subunit gamma 7	Homo sapiens	NP_443079.1
dd_Smed_v6_1237_0_2	651	5.00E-06	GNG7	G protein subunit gamma 7	Homo sapiens	NP_443079.1
dd_Smed_v6_12380_0_1	2442	5.00E-64	GSG2 HASPIN	"germ cell associated 2, haspin"	Homo sapiens	NP_114171.2
dd_Smed_v6_12381_0_1	1486	4.00E-49	GCNT1 C2GNT C2GNT-L C2GNT1 G6NT NACGT2 NAGCT2	"glucosaminyl (N-acetyl) transferase 1, core 2"	Homo sapiens	NP_001481.2
dd_Smed_v6_1238_0_1	690	2.00E-42	ATP5D	"ATP synthase, H  transporting, mitochondrial F1 complex, delta subunit"	Homo sapiens	NP_001678.1
dd_Smed_v6_12390_0_1	307	5.00E-28	RAD51 BRCC5 HRAD51 HsRad51 HsT16930 MRMV2 RAD51A RECA	RAD51 recombinase	Homo sapiens	NP_001157742.1
dd_Smed_v6_12396_0_1	1304	2.00E-78	DYX1C1 CILD25 DYX1 DYXC1 EKN1 RD	dyslexia susceptibility 1 candidate 1	Homo sapiens	NP_570722.2
dd_Smed_v6_1239_0_1	1282	9.00E-93	RAP1B K-REV RAL1B	"RAP1B, member of RAS oncogene family"	Homo sapiens	NP_056461.1
dd_Smed_v6_123_0_1	496	7.00E-42	RPS20 S20	ribosomal protein S20	Homo sapiens	NP_001014.1
dd_Smed_v6_123_0_2	463	6.00E-42	RPS20 S20	ribosomal protein S20	Homo sapiens	NP_001014.1
dd_Smed_v6_12407_0_1	1889	3.00E-155	KCND3 KCND3L KCND3S KSHIVB KV4.3 SCA19 SCA22	"potassium voltage-gated channel, Shal-related subfamily, member 3"	Homo sapiens	XP_006710694.1
dd_Smed_v6_12408_0_1	2906	5.00E-65	HEXB ENC-1AS HEL-248	hexosaminidase B (beta polypeptide)	Homo sapiens	NP_000512.1
dd_Smed_v6_12408_0_2	2385	1.00E-65	HEXB ENC-1AS HEL-248	hexosaminidase B (beta polypeptide)	Homo sapiens	NP_000512.1
dd_Smed_v6_12408_0_3	2382	7.00E-89	HEXB ENC-1AS HEL-248	hexosaminidase B (beta polypeptide)	Homo sapiens	NP_000512.1
dd_Smed_v6_12408_0_4	1867	1.00E-80	HEXB ENC-1AS HEL-248	hexosaminidase B (beta polypeptide)	Homo sapiens	NP_000512.1
dd_Smed_v6_12416_0_1	1442	3.00E-13	HSPBP1 FES1	"HSPA (heat shock 70kDa) binding protein, cytoplasmic cochaperone 1"	Homo sapiens	NP_036399.3
dd_Smed_v6_12419_0_1	11788	0	MDN1	"MDN1, midasin homolog (yeast)"	Homo sapiens	NP_055426.1
dd_Smed_v6_1241_0_1	747	4.00E-91	PSMB3 HC10-II	proteasome subunit beta 3	Homo sapiens	NP_002786.2
dd_Smed_v6_12425_0_1	888	3.00E-15	GAS2	growth arrest specific 2	Homo sapiens	NP_005247.1
dd_Smed_v6_12427_0_1	782	6.00E-28	C10orf2 ATXN8 IOSCA MTDPS7 PEO PEO1 PEOA3 SANDO SCA8 TWINL	chromosome 10 open reading frame 2	Homo sapiens	NP_001157285.1
dd_Smed_v6_12427_0_2	717	3.00E-06	C10orf2 ATXN8 IOSCA MTDPS7 PEO PEO1 PEOA3 SANDO SCA8 TWINL	chromosome 10 open reading frame 2	Homo sapiens	NP_001157285.1
dd_Smed_v6_12428_0_1	5523	0	CCDC108	coiled-coil domain containing 108	Homo sapiens	NP_919278.2
dd_Smed_v6_1242_0_1	793	1.00E-44	PPIC CYPC	peptidylprolyl isomerase C	Homo sapiens	NP_000934.1
dd_Smed_v6_12432_0_1	3166	7.00E-33	DDR2 MIG20a NTRKR3 TKT TYRO10	discoidin domain receptor tyrosine kinase 2	Homo sapiens	XP_006711408.1
dd_Smed_v6_12435_0_1	805	1.00E-15	SAT2 SSAT2	spermidine/spermine N1-acetyltransferase family member 2	Homo sapiens	NP_597998.1
dd_Smed_v6_12436_0_1	1380	1.00E-72	B4GALT4 B4Gal-T4 beta4Gal-T4	"beta-1,4-galactosyltransferase 4"	Homo sapiens	NP_003769.1
dd_Smed_v6_12439_0_1	2339	5.00E-74	ABCA1 ABC-1 ABC1 CERP HDLDT1 TGD	"ATP-binding cassette, sub-family A (ABC1), member 1"	Homo sapiens	XP_005251837.1
dd_Smed_v6_12446_0_1	949	1.00E-42	FTSJ2 FJH1 HEL97 MRM2	FtsJ RNA methyltransferase homolog 2 (E. coli)	Homo sapiens	NP_037525.1
dd_Smed_v6_12448_0_1	1557	3.00E-33	CCDC112 MBC1	coiled-coil domain containing 112	Homo sapiens	NP_689762.2
dd_Smed_v6_1244_0_1	948	2.00E-17	FHL3 SLIM2	four and a half LIM domains 3	Homo sapiens	NP_001230807.1
dd_Smed_v6_12456_0_1	1681	4.00E-12	SCAI C9orf126 NET40	suppressor of cancer cell invasion	Homo sapiens	NP_775961.2
dd_Smed_v6_12456_0_2	1630	9.00E-12	SCAI C9orf126 NET40	suppressor of cancer cell invasion	Homo sapiens	NP_001138349.1
dd_Smed_v6_12458_0_1	772	2.00E-27	VKORC1 EDTP308 IMAGE3455200 MST134 MST576 VKCFD2 VKOR	"vitamin K epoxide reductase complex, subunit 1"	Homo sapiens	NP_076869.1
dd_Smed_v6_12461_0_1	1471	1.00E-58	STK33	serine/threonine kinase 33	Homo sapiens	NP_001275987.1
dd_Smed_v6_12464_0_1	3201	8.00E-91	USP48 RAP1GA1 USP31	ubiquitin specific peptidase 48	Homo sapiens	NP_115612.4
dd_Smed_v6_12470_0_1	4312	4.00E-96	TTBK1 BDTK	tau tubulin kinase 1	Homo sapiens	XP_006715292.1
dd_Smed_v6_12476_0_1	2647	3.00E-176	ANKEF1 ANKRD5 dJ839B4.6	ankyrin repeat and EF-hand domain containing 1	Homo sapiens	NP_071379.3
dd_Smed_v6_12478_0_1	919	9.00E-67	RAD1 HRAD1 REC1	RAD1 checkpoint DNA exonuclease	Homo sapiens	NP_002844.1
dd_Smed_v6_1247_0_1	2636	0	PCCA	propionyl-CoA carboxylase alpha subunit	Homo sapiens	NP_000273.2
dd_Smed_v6_12484_0_1	3645	4.00E-20	SFI1 PISD PPP1R139 hSfi1p	"Sfi1 homolog, spindle assembly associated (yeast)"	Homo sapiens	NP_055590.2
dd_Smed_v6_12485_0_1	1185	7.00E-139	DHPS DHS DS MIG13	deoxyhypusine synthase	Homo sapiens	NP_001921.1
dd_Smed_v6_12491_0_1	621	7.00E-09	ZMAT5 SNRNP20	"zinc finger, matrin-type 5"	Homo sapiens	NP_061976.1
dd_Smed_v6_12492_0_1	836	1.00E-05	SNAPC1 PTFgamma SNAP43	small nuclear RNA activating complex polypeptide 1	Homo sapiens	NP_003073.1
dd_Smed_v6_1249_0_1	2867	0	NPEPPS AAP-S MP100 PSA	aminopeptidase puromycin sensitive	Homo sapiens	NP_006301.3
dd_Smed_v6_12501_0_1	1930	5.00E-39	ZNF384 CAGH1 CAGH1A CIZ ERDA2 NMP4 NP TNRC1	zinc finger protein 384	Homo sapiens	NP_597733.2
dd_Smed_v6_12501_0_2	1306	6.00E-40	ZNF384 CAGH1 CAGH1A CIZ ERDA2 NMP4 NP TNRC1	zinc finger protein 384	Homo sapiens	NP_597733.2
dd_Smed_v6_12505_0_1	2263	9.00E-92	DDHD1 PA-PLA1 PAPLA1 SPG28	DDHD domain containing 1	Homo sapiens	NP_085140.2
dd_Smed_v6_12505_0_2	2214	3.00E-106	DDHD1 PA-PLA1 PAPLA1 SPG28	DDHD domain containing 1	Homo sapiens	NP_085140.2
dd_Smed_v6_12507_0_1	1490	5.00E-176	GPR89B GPHR GPR89 GPR89C SH120 UNQ192	G protein-coupled receptor 89B	Homo sapiens	NP_057418.1
dd_Smed_v6_1250_0_1	2374	0	AFG3L2 SCA28 SPAX5	AFG3 like matrix AAA peptidase subunit 2	Homo sapiens	NP_006787.2
dd_Smed_v6_12514_0_1	1972	8.00E-101	TBCCD1	TBCC domain containing 1	Homo sapiens	NP_060608.1
dd_Smed_v6_12515_0_1	3659	7.00E-100	ANKMY1 ZMYND13	ankyrin repeat and MYND domain containing 1	Homo sapiens	XP_006712634.1
dd_Smed_v6_12518_0_1	986	2.00E-17	GTF2B TF2B TFIIB	general transcription factor IIB	Homo sapiens	NP_001505.1
dd_Smed_v6_12519_0_1	648	5.00E-26	SSRP1 FACT FACT80 T160	structure specific recognition protein 1	Homo sapiens	NP_003137.1
dd_Smed_v6_1251_0_1	741	4.00E-15	FHL3 SLIM2	four and a half LIM domains 3	Homo sapiens	NP_001230807.1
dd_Smed_v6_12520_0_1	4530	1.00E-136	NPHP4 POC10 SLSN4	nephronophthisis 4	Homo sapiens	NP_001278522.1
dd_Smed_v6_12522_0_1	2207	4.00E-27	TARDBP ALS10 TDP-43	TAR DNA binding protein	Homo sapiens	NP_031401.1
dd_Smed_v6_12522_0_2	807	5.00E-29	TARDBP ALS10 TDP-43	TAR DNA binding protein	Homo sapiens	NP_031401.1
dd_Smed_v6_12523_0_1	2546	6.00E-32	AFMID FKF KF KFA	arylformamidase	Homo sapiens	NP_001010982.2
dd_Smed_v6_12523_0_2	2405	5.00E-32	AFMID FKF KF KFA	arylformamidase	Homo sapiens	NP_001010982.2
dd_Smed_v6_12524_0_1	1973	5.00E-122	TCTE1 D6S46 FAP155	t-complex-associated-testis-expressed 1	Homo sapiens	NP_872345.2
dd_Smed_v6_12525_0_1	1661	3.00E-79	MARS2 MetRS mtMetRS	"methionyl-tRNA synthetase 2, mitochondrial"	Homo sapiens	NP_612404.1
dd_Smed_v6_12525_0_2	1626	2.00E-103	MARS2 MetRS mtMetRS	"methionyl-tRNA synthetase 2, mitochondrial"	Homo sapiens	NP_612404.1
dd_Smed_v6_12525_0_3	1282	3.00E-17	MARS2 MetRS mtMetRS	"methionyl-tRNA synthetase 2, mitochondrial"	Homo sapiens	NP_612404.1
dd_Smed_v6_12533_0_1	1646	0	AGBL4 CCP6	ATP/GTP binding protein-like 4	Homo sapiens	NP_116174.3
dd_Smed_v6_12535_0_1	2059	3.00E-77	CHRNB4	"cholinergic receptor, nicotinic, beta 4 (neuronal)"	Homo sapiens	NP_000741.1
dd_Smed_v6_12541_0_1	1604	9.00E-123	LRRC48	leucine rich repeat containing 48	Homo sapiens	NP_001123562.1
dd_Smed_v6_12545_0_1	4331	0	PTPRS PTPSIGMA	"protein tyrosine phosphatase, receptor type, S"	Homo sapiens	NP_570923.2
dd_Smed_v6_1254_0_1	1502	1.00E-93	CYC1 MC3DN6 UQCR4	cytochrome c1	Homo sapiens	NP_001907.2
dd_Smed_v6_12551_0_1	4135	4.00E-48	BRCA2 BRCC2 BROVCA2 FACD FAD FAD1 FANCD FANCD1 GLM3 PNCA2	"breast cancer 2, early onset"	Homo sapiens	NP_000050.2
dd_Smed_v6_12553_0_1	1343	8.00E-32	WDR55	WD repeat domain 55	Homo sapiens	NP_060176.2
dd_Smed_v6_12559_0_1	835	4.00E-112	RPL3 ASC-1 L3 TARBP-B	ribosomal protein L3	Homo sapiens	NP_000958.1
dd_Smed_v6_1255_0_1	1556	6.00E-131	ATP6V1C1 ATP6C ATP6D VATC Vma5	ATPase H  transporting V1 subunit C1	Homo sapiens	NP_001686.1
dd_Smed_v6_12567_0_1	2054	3.00E-48	RASEF RAB45	RAS and EF-hand domain containing	Homo sapiens	XP_005251788.1
dd_Smed_v6_12568_0_1	2634	3.00E-164	GANC	"glucosidase alpha, neutral C"	Homo sapiens	NP_937784.2
dd_Smed_v6_12568_0_2	1644	6.00E-97	GANC	"glucosidase alpha, neutral C"	Homo sapiens	NP_937784.2
dd_Smed_v6_12569_0_1	733	5.00E-43	UBE2K E2-25K HIP2 HYPG LIG UBC1	ubiquitin conjugating enzyme E2 K	Homo sapiens	NP_005330.1
dd_Smed_v6_1256_0_1	586	5.00E-11	NDUFA13 B16.6 CDA016 GRIM-19 GRIM19	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 13"	Homo sapiens	NP_057049.5
dd_Smed_v6_12570_0_1	2113	1.00E-149	ABCB10 EST20237 M-ABC2 MTABC2	ATP binding cassette subfamily B member 10	Homo sapiens	NP_036221.2
dd_Smed_v6_12570_0_2	2106	5.00E-128	ABCB10 EST20237 M-ABC2 MTABC2	ATP binding cassette subfamily B member 10	Homo sapiens	NP_036221.2
dd_Smed_v6_12570_0_3	884	7.00E-23	ABCB10 EST20237 M-ABC2 MTABC2	ATP binding cassette subfamily B member 10	Homo sapiens	NP_036221.2
dd_Smed_v6_12571_0_1	4477	1.00E-32	PTK7 CCK-4 CCK4	protein tyrosine kinase 7 (inactive)	Homo sapiens	NP_002812.2
dd_Smed_v6_12573_0_1	3165	3.00E-166	KIF28P	"kinesin family member 28, pseudogene"	Homo sapiens	XP_001717126.5
dd_Smed_v6_12575_0_1	1322	4.00E-49	SETD6	SET domain containing 6	Homo sapiens	NP_079136.2
dd_Smed_v6_12577_0_2	1892	3.00E-07	DIRC2 RCC4	disrupted in renal carcinoma 2	Homo sapiens	NP_116228.1
dd_Smed_v6_12577_0_4	1541	3.00E-07	DIRC2 RCC4	disrupted in renal carcinoma 2	Homo sapiens	NP_116228.1
dd_Smed_v6_1257_0_1	1077	6.00E-19	CD151 GP27 MER2 PETA-3 RAPH SFA1 TSPAN24	CD151 molecule (Raph blood group)	Homo sapiens	NP_004348.2
dd_Smed_v6_12580_0_1	825	3.00E-13	TIPIN	TIMELESS interacting protein	Homo sapiens	NP_060328.2
dd_Smed_v6_12586_0_1	1211	8.00E-72	CCDC130	coiled-coil domain containing 130	Homo sapiens	NP_110445.1
dd_Smed_v6_12588_0_1	2867	2.00E-177	CCDC135 C16orf50 FAP50	coiled-coil domain containing 135	Homo sapiens	NP_115645.4
dd_Smed_v6_1258_0_1	3129	0	PIWIL1 CT80.1 HIWI MIWI PIWI	piwi like RNA-mediated gene silencing 1	Homo sapiens	NP_004755.2
dd_Smed_v6_12592_0_1	2463	2.00E-14	EPB41 4.1R EL1 HE	erythrocyte membrane protein band 4.1	Homo sapiens	NP_004428.1
dd_Smed_v6_12592_0_2	2412	2.00E-17	EPB41 4.1R EL1 HE	erythrocyte membrane protein band 4.1	Homo sapiens	NP_001159479.1
dd_Smed_v6_12592_0_3	2410	8.00E-17	EPB41 4.1R EL1 HE	erythrocyte membrane protein band 4.1	Homo sapiens	XP_005245824.1
dd_Smed_v6_12594_0_1	2712	5.00E-69	RYK D3S3195 JTK5 JTK5A RYK1	receptor-like tyrosine kinase	Homo sapiens	NP_002949.2
dd_Smed_v6_12594_0_2	2669	5.00E-69	RYK D3S3195 JTK5 JTK5A RYK1	receptor-like tyrosine kinase	Homo sapiens	NP_002949.2
dd_Smed_v6_12594_0_3	2107	3.00E-70	RYK D3S3195 JTK5 JTK5A RYK1	receptor-like tyrosine kinase	Homo sapiens	NP_002949.2
dd_Smed_v6_12595_0_1	2845	5.00E-121	TRIM9 RNF91 SPRING	tripartite motif containing 9	Homo sapiens	NP_055978.4
dd_Smed_v6_12599_0_1	562	4.00E-07	DRAP1 NC2-alpha	DR1 associated protein 1	Homo sapiens	NP_006433.2
dd_Smed_v6_1259_0_1	894	8.00E-98	SOD2 IPOB MNSOD MVCD6	"superoxide dismutase 2, mitochondrial"	Homo sapiens	NP_000627.2
dd_Smed_v6_12601_0_1	1286	2.00E-15	MMP2 CLG4 CLG4A MMP-II MONA TBE-1	"matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)"	Homo sapiens	NP_004521.1
dd_Smed_v6_12602_0_1	1533	1.00E-49	VIPR1 HVR1 II PACAP-R-2 PACAP-R2 RDC1 V1RG VAPC1 VIP-R-1 VIPR VIRG VPAC1 VPAC1R VPCAP1R	vasoactive intestinal peptide receptor 1	Homo sapiens	NP_001238811.1
dd_Smed_v6_12605_0_1	1282	1.00E-50	MPEG1 MPG1 MPS1 Mpg-1	macrophage expressed 1	Homo sapiens	NP_001034485.1
dd_Smed_v6_12606_0_1	2565	4.00E-28	CLCN1 CLC1	chloride voltage-gated channel 1	Homo sapiens	NP_000074.2
dd_Smed_v6_12607_0_1	1928	1.00E-29	ENO4 C10orf134	enolase family member 4	Homo sapiens	XP_006717898.1
dd_Smed_v6_1260_0_1	1832	3.00E-123	TYMS HST422 TMS TS	thymidylate synthetase	Homo sapiens	NP_001062.1
dd_Smed_v6_12611_0_1	900	4.00E-11	ZFAND1	zinc finger AN1-type containing 1	Homo sapiens	NP_078975.2
dd_Smed_v6_12618_0_1	1841	0	TTC26 DYF13 dyf-13	tetratricopeptide repeat domain 26	Homo sapiens	NP_079202.2
dd_Smed_v6_12621_0_1	3427	0	KCNH6 ERG-2 ERG2 HERG2 Kv11.2 hERG-2	potassium voltage-gated channel subfamily H member 6	Homo sapiens	NP_110406.1
dd_Smed_v6_12622_0_1	1735	2.00E-90	MGAT1 GLCNAC-TI GLCT1 GLYT1 GNT-1 GNT-I MGAT	"mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase"	Homo sapiens	NP_002397.2
dd_Smed_v6_12628_0_1	514	9.00E-19	EFCAB11 C14orf143	EF-hand calcium binding domain 11	Homo sapiens	NP_660274.1
dd_Smed_v6_1262_0_1	3470	0	IPO5 IMB3 KPNB3 Pse1 RANBP5 imp5	importin 5	Homo sapiens	NP_002262.3
dd_Smed_v6_12637_0_1	2933	7.00E-93	PLK4 SAK STK18	polo-like kinase 4	Homo sapiens	XP_005262758.1
dd_Smed_v6_12638_0_1	3460	1.00E-118	DNA2 DNA2L PEOA6 SCKL8 hDNA2	DNA replication helicase/nuclease 2	Homo sapiens	NP_001073918.2
dd_Smed_v6_12638_0_2	3325	2.00E-109	DNA2 DNA2L PEOA6 SCKL8 hDNA2	DNA replication helicase/nuclease 2	Homo sapiens	NP_001073918.2
dd_Smed_v6_1263_0_1	1333	0	ACTR1A ARP1 CTRN1	"ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)"	Homo sapiens	NP_005727.1
dd_Smed_v6_12640_0_1	1380	2.00E-37	NPFFR2 GPR74 HLWAR77 NPFF2 NPGPR	neuropeptide FF receptor 2	Homo sapiens	NP_444264.1
dd_Smed_v6_12645_0_1	1004	1.00E-21	OTUD6A DUBA2 HSHIN6	OTU deubiquitinase 6A	Homo sapiens	NP_997203.1
dd_Smed_v6_12645_0_2	966	1.00E-31	OTUD6B DUBA-5 DUBA5	OTU domain containing 6B	Homo sapiens	NP_057107.3
dd_Smed_v6_12647_0_1	1873	1.00E-20	SYT15 CHR10SYT sytXV	synaptotagmin XV	Homo sapiens	XP_006718070.1
dd_Smed_v6_12649_0_1	1023	7.00E-09	LETMD1 1110019O13Rik HCCR-1 HCCR-2 HCCR1 HCRR-2	LETM1 domain containing 1	Homo sapiens	NP_056231.3
dd_Smed_v6_1264_0_1	1181	5.00E-94	PSMB7 Z	proteasome subunit beta 7	Homo sapiens	NP_002790.1
dd_Smed_v6_12651_0_1	1285	2.00E-24	DUSP14 MKP-L MKP6	dual specificity phosphatase 14	Homo sapiens	NP_008957.1
dd_Smed_v6_12653_0_1	1848	0	GAD1 CPSQ1 GAD SCP	glutamate decarboxylase 1	Homo sapiens	NP_000808.2
dd_Smed_v6_12656_0_1	1345	2.00E-06	BLZF1 GOLGIN-45 JEM-1 JEM-1s JEM1	basic leucine zipper nuclear factor 1	Homo sapiens	NP_003657.1
dd_Smed_v6_12656_0_2	1299	1.00E-06	BLZF1 GOLGIN-45 JEM-1 JEM-1s JEM1	basic leucine zipper nuclear factor 1	Homo sapiens	NP_003657.1
dd_Smed_v6_12657_0_1	733	1.00E-24	PIGL CHIME	phosphatidylinositol glycan anchor biosynthesis class L	Homo sapiens	NP_004269.1
dd_Smed_v6_12659_0_1	985	7.00E-44	SLC25A38	"solute carrier family 25, member 38"	Homo sapiens	XP_006713277.1
dd_Smed_v6_1265_0_1	825	3.00E-55	SSR3 TRAPG	signal sequence receptor subunit 3	Homo sapiens	NP_009038.1
