Transcript_Id	Length	Source	evalue	Blast_Symbol	Blast_Description	Target_Species
dd_Smed_v6_13019_0_1	6602	PLDB	1.00E-72	C2CD3	C2 calcium-dependent domain containing 3	Homo sapiens
dd_Smed_v6_13048_0_1	3496	PLDB	6.00E-117	TRPC6 FSGS2 TRP6	transient receptor potential cation channel subfamily C member 6	Homo sapiens
dd_Smed_v6_13048_0_2	3479	PLDB	2.00E-133	TRPC6 FSGS2 TRP6	transient receptor potential cation channel subfamily C member 6	Homo sapiens
dd_Smed_v6_13079_0_1	1003	PLDB	1.00E-59	SNAP25 RIC-4 RIC4 SEC9 SNAP SNAP-25 bA416N4.2 dJ1068F16.2	"synaptosomal-associated protein, 25kDa"	Homo sapiens
dd_Smed_v6_13119_0_1	4053	PLDB	6.00E-70	TRPM2 EREG1 KNP3 LTRPC2 NUDT9H NUDT9L1 TRPC7	"transient receptor potential cation channel, subfamily M, member 2"	Homo sapiens
dd_Smed_v6_1311_0_1	553	PLDB	8.00E-12	VAMP3 CEB	vesicle associated membrane protein 3	Homo sapiens
dd_Smed_v6_13155_0_1	3093	PLDB	8.00E-75	PCDH11X PCDH-X PCDH11 PCDHX PPP1R119	protocadherin 11 X-linked	Homo sapiens
dd_Smed_v6_13188_0_1	2512	PLDB	4.00E-15	KAL1 ADMLX HH1 HHA KAL KALIG-1 KMS WFDC19	Kallmann syndrome 1 sequence	Homo sapiens
dd_Smed_v6_13202_0_1	996	PLDB	9.00E-13	CLIC1 G6 NCC27	chloride intracellular channel 1	Homo sapiens
dd_Smed_v6_13205_0_1	663	PLDB	8.00E-17	CALM2 CAMII PHKD PHKD2	"calmodulin 2 (phosphorylase kinase, delta)"	Homo sapiens
dd_Smed_v6_13209_0_1	1493	PLDB	8.00E-72	P2RX4 P2X4 P2X4R	purinergic receptor P2X 4	Homo sapiens
dd_Smed_v6_13248_0_1	3555	PLDB	4.00E-150	WDR49	WD repeat domain 49	Homo sapiens
dd_Smed_v6_13248_0_2	3537	PLDB	4.00E-151	WDR49	WD repeat domain 49	Homo sapiens
dd_Smed_v6_13248_0_3	3531	PLDB	2.00E-150	WDR49	WD repeat domain 49	Homo sapiens
dd_Smed_v6_13248_0_4	3528	PLDB	1.00E-152	WDR49	WD repeat domain 49	Homo sapiens
dd_Smed_v6_13248_0_5	3513	PLDB	2.00E-151	WDR49	WD repeat domain 49	Homo sapiens
dd_Smed_v6_13248_0_6	3510	PLDB	1.00E-153	WDR49	WD repeat domain 49	Homo sapiens
dd_Smed_v6_13248_0_7	3504	PLDB	4.00E-153	WDR49	WD repeat domain 49	Homo sapiens
dd_Smed_v6_13248_0_8	3486	PLDB	5.00E-154	WDR49	WD repeat domain 49	Homo sapiens
dd_Smed_v6_13255_0_1	845	PLDB	1.00E-55	SNAP25 RIC-4 RIC4 SEC9 SNAP SNAP-25 bA416N4.2 dJ1068F16.2	"synaptosomal-associated protein, 25kDa"	Homo sapiens
dd_Smed_v6_13264_0_1	2808	PLDB	1.00E-110	DGKI DGK-IOTA	diacylglycerol kinase iota	Homo sapiens
dd_Smed_v6_13281_0_1	1478	PLDB	9.00E-51	CALCR CRT CT-R CTR CTR1	calcitonin receptor	Homo sapiens
dd_Smed_v6_13309_0_1	2383	PLDB	2.00E-107	KCNN2 KCa2.2 SK2 SKCA2 SKCa 2 hSK2	potassium calcium-activated channel subfamily N member 2	Homo sapiens
dd_Smed_v6_13334_0_1	634	PLDB	4.00E-15	PLA2G2E GIIE sPLA2 sPLA2-IIE	phospholipase A2 group IIE	Homo sapiens
dd_Smed_v6_13345_0_1	2310	PLDB	9.00E-51	ACTR5 Arp5 INO80M	ARP5 actin-related protein 5 homolog	Homo sapiens
dd_Smed_v6_13356_0_1	1976	PLDB	2.00E-94	FZD4 CD344 EVR1 FEVR FZD4S Fz-4 Fz4 FzE4 GPCR hFz4	frizzled class receptor 4	Homo sapiens
dd_Smed_v6_13396_0_1	1739	PLDB	2.00E-131	KCNA3 HGK5 HLK3 HPCN3 HUKIII KV1.3 MK3 PCN3	potassium voltage-gated channel subfamily A member 3	Homo sapiens
dd_Smed_v6_13399_0_1	2790	PLDB	3.00E-126	GRIA1 GLUH1 GLUR1 GLURA GluA1 HBGR1	glutamate ionotropic receptor AMPA type subunit 1	Homo sapiens
dd_Smed_v6_13412_0_1	3404	PLDB	6.00E-58	PCDH1 PC42 PCDH42	protocadherin 1	Homo sapiens
dd_Smed_v6_13423_0_1	2083	PLDB	2.00E-22	PCDH11Y PCDH-PC PCDH22 PCDHX PCDHY	protocadherin 11 Y-linked	Homo sapiens
dd_Smed_v6_13481_0_1	673	PLDB	5.00E-13	CAV3 LGMD1C LQT9 VIP-21 VIP21	caveolin 3	Homo sapiens
dd_Smed_v6_13509_0_1	1885	PLDB	2.00E-10	HTR2A 5-HT2A HTR2	5-hydroxytryptamine receptor 2A	Homo sapiens
dd_Smed_v6_13538_0_1	8444	PLDB	5.00E-26	ITPR1 ACV CLA4 INSP3R1 IP3R IP3R1 PPP1R94 SCA15 SCA16 SCA29	"inositol 1,4,5-trisphosphate receptor, type 1"	Homo sapiens
dd_Smed_v6_13570_0_1	3218	PLDB	1.00E-55	FAT4 CDHF14 CDHR11 FAT-J FATJ NBLA00548 VMLDS2	FAT atypical cadherin 4	Homo sapiens
dd_Smed_v6_1358_0_1	971	PLDB	7.00E-09	COMMD5 HCARG	COMM domain containing 5	Homo sapiens
dd_Smed_v6_13628_0_1	4307	PLDB	1.00E-141	ATP10B ATPVB	"ATPase, class V, type 10B"	Homo sapiens
dd_Smed_v6_13658_0_1	1012	PLDB	2.00E-83	GNAO1 EIEE17 G-ALPHA-o GNAO	G protein subunit alpha o1	Homo sapiens
dd_Smed_v6_13669_0_1	2662	PLDB	3.00E-13	TRPM7 ALSPDC CHAK CHAK1 LTRPC7 TRP-PLIK	"transient receptor potential cation channel, subfamily M, member 7"	Homo sapiens
dd_Smed_v6_13697_0_1	4108	PLDB	1.00E-104	NRXN1 Hs.22998 PTHSL2 SCZD17	neurexin 1	Homo sapiens
dd_Smed_v6_136_0_1	659	PLDB	9.00E-37	TPT1 HRF TCTP p02 p23	"tumor protein, translationally-controlled 1"	Homo sapiens
dd_Smed_v6_13706_0_2	962	PLDB	3.00E-21	SYTL4 SLP4	synaptotagmin like 4	Homo sapiens
dd_Smed_v6_13707_0_1	2099	PLDB	9.00E-119	KCNN3 KCa2.3 SK3 SKCA3 hSK3	potassium calcium-activated channel subfamily N member 3	Homo sapiens
dd_Smed_v6_13717_0_1	1941	PLDB	6.00E-168	KCNA3 HGK5 HLK3 HPCN3 HUKIII KV1.3 MK3 PCN3	potassium voltage-gated channel subfamily A member 3	Homo sapiens
dd_Smed_v6_13720_0_1	1472	PLDB	2.00E-75	P2RX4 P2X4 P2X4R	purinergic receptor P2X 4	Homo sapiens
dd_Smed_v6_1372_1_1	4334	PLDB	0	ATP8A1 ATPASEII ATPIA ATPP2	ATPase phospholipid transporting 8A1	Homo sapiens
dd_Smed_v6_1372_1_2	4328	PLDB	0	ATP8A1 ATPASEII ATPIA ATPP2	ATPase phospholipid transporting 8A1	Homo sapiens
dd_Smed_v6_1372_1_3	4307	PLDB	0	ATP8A1 ATPASEII ATPIA ATPP2	ATPase phospholipid transporting 8A1	Homo sapiens
dd_Smed_v6_1372_1_4	4301	PLDB	0	ATP8A1 ATPASEII ATPIA ATPP2	ATPase phospholipid transporting 8A1	Homo sapiens
dd_Smed_v6_1372_1_5	3659	PLDB	0	ATP8A1 ATPASEII ATPIA ATPP2	ATPase phospholipid transporting 8A1	Homo sapiens
dd_Smed_v6_1372_1_6	3653	PLDB	0	ATP8A1 ATPASEII ATPIA ATPP2	ATPase phospholipid transporting 8A1	Homo sapiens
dd_Smed_v6_13738_0_1	2124	PLDB	4.00E-39	PLK1 PLK STPK13	polo like kinase 1	Homo sapiens
dd_Smed_v6_13756_0_1	4114	PLDB	2.00E-83	KIFC3	kinesin family member C3	Homo sapiens
dd_Smed_v6_13788_0_1	1318	PLDB	2.00E-54	CDK5R1 CDK5P35 CDK5R NCK5A p23 p25 p35 p35nck5a	"cyclin-dependent kinase 5, regulatory subunit 1 (p35)"	Homo sapiens
dd_Smed_v6_13812_0_1	2591	PLDB	0	DGKZ DAGK5 DAGK6 DGK-ZETA hDGKzeta	"diacylglycerol kinase, zeta"	Homo sapiens
dd_Smed_v6_13820_0_1	844	PLDB	8.00E-05	KCNIP1 KCHIP1 VABP	potassium voltage-gated channel interacting protein 1	Homo sapiens
dd_Smed_v6_13820_0_2	562	PLDB	4.00E-15	KCNIP1 KCHIP1 VABP	potassium voltage-gated channel interacting protein 1	Homo sapiens
dd_Smed_v6_13823_0_1	3508	PLDB	6.00E-82	DLL1 DELTA1 DL1 Delta	delta like canonical Notch ligand 1	Homo sapiens
dd_Smed_v6_1384_0_1	698	PLDB	3.00E-18	NDUFAB1 ACP FASN2A SDAP	NADH:ubiquinone oxidoreductase subunit AB1	Homo sapiens
dd_Smed_v6_13873_0_1	2166	PLDB	2.00E-111	CPNE9	copine family member 9	Homo sapiens
dd_Smed_v6_13906_1_1	1158	PLDB	7.00E-56	SRR ILV1 ISO1	serine racemase	Homo sapiens
dd_Smed_v6_1390_0_1	1272	PLDB	2.00E-71	CHORDC1 CHP1	cysteine and histidine rich domain containing 1	Homo sapiens
dd_Smed_v6_13923_0_1	758	PLDB	4.00E-25	ACTB BRWS1 PS1TP5BP1	"actin, beta"	Homo sapiens
dd_Smed_v6_13961_0_1	3514	PLDB	1.00E-53	PCDH1 PC42 PCDH42	protocadherin 1	Homo sapiens
dd_Smed_v6_13973_0_1	5791	PLDB	0	SCN9A ETHA FEB3B GEFSP7 NE-NA NENA Nav1.7 PN1 SFNP	"sodium channel, voltage-gated, type IX, alpha subunit"	Homo sapiens
dd_Smed_v6_14006_0_1	2893	PLDB	2.00E-129	KCNN3 KCa2.3 SK3 SKCA3 hSK3	potassium calcium-activated channel subfamily N member 3	Homo sapiens
dd_Smed_v6_14117_0_1	3588	PLDB	1.00E-80	PCDH1 PC42 PCDH42	protocadherin 1	Homo sapiens
dd_Smed_v6_14117_0_2	3561	PLDB	4.00E-79	PCDH1 PC42 PCDH42	protocadherin 1	Homo sapiens
dd_Smed_v6_14126_0_1	1860	PLDB	2.00E-145	KCNQ1 ATFB1 ATFB3 JLNS1 KCNA8 KCNA9 KVLQT1 Kv1.9 Kv7.1 LQT LQT1 RWS SQT2 WRS	"potassium voltage-gated channel, KQT-like subfamily, member 1"	Homo sapiens
dd_Smed_v6_14126_0_2	1820	PLDB	0	KCNQ1 ATFB1 ATFB3 JLNS1 KCNA8 KCNA9 KVLQT1 Kv1.9 Kv7.1 LQT LQT1 RWS SQT2 WRS	"potassium voltage-gated channel, KQT-like subfamily, member 1"	Homo sapiens
dd_Smed_v6_14126_0_3	1712	PLDB	4.00E-146	KCNQ1 ATFB1 ATFB3 JLNS1 KCNA8 KCNA9 KVLQT1 Kv1.9 Kv7.1 LQT LQT1 RWS SQT2 WRS	"potassium voltage-gated channel, KQT-like subfamily, member 1"	Homo sapiens
dd_Smed_v6_14126_0_5	1576	PLDB	1.00E-147	KCNQ1 ATFB1 ATFB3 JLNS1 KCNA8 KCNA9 KVLQT1 Kv1.9 Kv7.1 LQT LQT1 RWS SQT2 WRS	"potassium voltage-gated channel, KQT-like subfamily, member 1"	Homo sapiens
dd_Smed_v6_14126_0_6	1425	PLDB	2.00E-147	KCNQ1 ATFB1 ATFB3 JLNS1 KCNA8 KCNA9 KVLQT1 Kv1.9 Kv7.1 LQT LQT1 RWS SQT2 WRS	"potassium voltage-gated channel, KQT-like subfamily, member 1"	Homo sapiens
dd_Smed_v6_14126_0_8	1141	PLDB	1.00E-150	KCNQ1 ATFB1 ATFB3 JLNS1 KCNA8 KCNA9 KVLQT1 Kv1.9 Kv7.1 LQT LQT1 RWS SQT2 WRS	"potassium voltage-gated channel, KQT-like subfamily, member 1"	Homo sapiens
dd_Smed_v6_14162_0_1	5405	PLDB	2.00E-176	OTOF AUNB1 DFNB6 DFNB9 FER1L2 NSRD9	otoferlin	Homo sapiens
dd_Smed_v6_1417_0_1	1292	PLDB	5.00E-82	CALU	calumenin	Homo sapiens
dd_Smed_v6_14191_0_1	1560	PLDB	5.00E-138	PDE1C Hcam3 cam-PDE 1C hCam-3	phosphodiesterase 1C	Homo sapiens
dd_Smed_v6_14209_0_1	3461	PLDB	3.00E-66	PCDH11X PCDH-X PCDH11 PCDHX PPP1R119	protocadherin 11 X-linked	Homo sapiens
dd_Smed_v6_14209_0_2	3343	PLDB	2.00E-66	PCDH11X PCDH-X PCDH11 PCDHX PPP1R119	protocadherin 11 X-linked	Homo sapiens
dd_Smed_v6_14266_0_1	1218	PLDB	6.00E-25	RCAN2 CSP2 DSCR1L1 MCIP2 RCN2 ZAKI-4 ZAKI4	regulator of calcineurin 2	Homo sapiens
dd_Smed_v6_1427_0_1	1223	PLDB	3.00E-48	HPN TMPRSS1	hepsin	Homo sapiens
dd_Smed_v6_1432_0_1	7239	PLDB	0	ANK3 ANKYRIN-G MRT37	"ankyrin 3, node of Ranvier (ankyrin G)"	Homo sapiens
dd_Smed_v6_14338_0_1	767	PLDB	3.00E-99	MGEA5 MEA5 NCOAT OGA	meningioma expressed antigen 5 (hyaluronidase)	Homo sapiens
dd_Smed_v6_1433_0_1	912	PLDB	4.00E-55	VAPA VAP-33 VAP-A VAP33 hVAP-33	VAMP associated protein A	Homo sapiens
dd_Smed_v6_14344_0_1	3344	PLDB	1.00E-63	PCDH1 PC42 PCDH42	protocadherin 1	Homo sapiens
dd_Smed_v6_14346_0_1	1595	PLDB	4.00E-107	KCNA2 HBK5 HK4 HUKIV KV1.2 MK2 NGK1 RBK2	"potassium voltage-gated channel, shaker-related subfamily, member 2"	Homo sapiens
dd_Smed_v6_14382_0_1	464	PLDB	3.00E-23	PI15 CRISP8 P24TI P25TI	peptidase inhibitor 15	Homo sapiens
dd_Smed_v6_14382_0_2	430	PLDB	3.00E-23	PI15 CRISP8 P24TI P25TI	peptidase inhibitor 15	Homo sapiens
dd_Smed_v6_14386_0_1	5610	PLDB	0	SCN2A BFIC3 BFIS3 BFNIS EIEE11 HBA HBSCI HBSCII NAC2 Na(v)1.2 Nav1.2 SCN2A1 SCN2A2	"sodium channel, voltage-gated, type II, alpha subunit"	Homo sapiens
dd_Smed_v6_14395_0_1	772	PLDB	4.00E-18	CALM2 CAMII PHKD PHKD2	"calmodulin 2 (phosphorylase kinase, delta)"	Homo sapiens
dd_Smed_v6_14409_0_1	1017	PLDB	6.00E-27	PLSCR1 MMTRA1B	phospholipid scramblase 1	Homo sapiens
dd_Smed_v6_14450_0_1	897	PLDB	3.00E-43	HPCAL1 BDR1 HLP2 VILIP-3	hippocalcin like 1	Homo sapiens
dd_Smed_v6_14523_0_1	3333	PLDB	1.00E-52	PCDHA11 CNR7 CNRN7 CNRS7 CRNR7 PCDH-ALPHA11	protocadherin alpha 11	Homo sapiens
dd_Smed_v6_1457_0_1	774	PLDB	1.00E-58	PDCD6 ALG-2 PEF1B	programmed cell death 6	Homo sapiens
dd_Smed_v6_14595_0_1	1624	PLDB	1.00E-98	KCNC2 KV3.2	potassium voltage-gated channel subfamily C member 2	Homo sapiens
dd_Smed_v6_14595_0_2	1065	PLDB	2.00E-74	KCNC2 KV3.2	potassium voltage-gated channel subfamily C member 2	Homo sapiens
dd_Smed_v6_14610_0_1	1607	PLDB	8.00E-106	KCNB1 DRK1 KV2.1 h-DRK1	"potassium voltage-gated channel, Shab-related subfamily, member 1"	Homo sapiens
dd_Smed_v6_14613_0_1	3458	PLDB	2.00E-68	PCDH9	protocadherin 9	Homo sapiens
dd_Smed_v6_14614_0_1	1428	PLDB	9.00E-07	TRAF6 MGC:3310 RNF85	TNF receptor associated factor 6	Homo sapiens
dd_Smed_v6_14623_0_1	1446	PLDB	5.00E-59	GRIN3A GluN3A NMDAR-L NR3A	glutamate ionotropic receptor NMDA type subunit 3A	Homo sapiens
dd_Smed_v6_14655_0_1	2979	PLDB	1.00E-119	GRIK2 EAA4 GLR6 GLUK6 GLUR6 GluK2 MRT6	glutamate ionotropic receptor kainate type subunit 2	Homo sapiens
dd_Smed_v6_1467_0_1	1020	PLDB	8.00E-45	EFHD1 MST133 MSTP133 SWS2	"EF-hand domain family, member D1"	Homo sapiens
dd_Smed_v6_14685_0_1	976	PLDB	1.00E-86	CAMKK1 CAMKKA	calcium/calmodulin-dependent protein kinase kinase 1	Homo sapiens
dd_Smed_v6_14696_0_1	2191	PLDB	8.00E-152	PPP2R3A PPP2R3 PR130 PR72	protein phosphatase 2 regulatory subunit B''alpha	Homo sapiens
dd_Smed_v6_14696_0_2	1970	PLDB	2.00E-152	PPP2R3A PPP2R3 PR130 PR72	protein phosphatase 2 regulatory subunit B''alpha	Homo sapiens
dd_Smed_v6_14730_0_1	6521	PLDB	0	CACNA1H CACNA1HB Cav3.2 ECA6 EIG6	"calcium channel, voltage-dependent, T type, alpha 1H subunit"	Homo sapiens
dd_Smed_v6_14778_0_1	3203	PLDB	7.00E-73	PCDHB10 PCDH-BETA10 PCHB10	protocadherin beta 10	Homo sapiens
dd_Smed_v6_14835_0_1	1826	PLDB	5.00E-155	KCNA2 HBK5 HK4 HUKIV KV1.2 MK2 NGK1 RBK2	"potassium voltage-gated channel, shaker-related subfamily, member 2"	Homo sapiens
dd_Smed_v6_1484_0_1	3100	PLDB	6.00E-80	PCSK1 BMIQ12 NEC1 PC1 PC3 SPC3	proprotein convertase subtilisin/kexin type 1	Homo sapiens
dd_Smed_v6_14863_0_1	3209	PLDB	0	KCNH8 ELK ELK1 Kv12.1 elk3	potassium voltage-gated channel subfamily H member 8	Homo sapiens
dd_Smed_v6_14863_0_2	3186	PLDB	0	KCNH8 ELK ELK1 Kv12.1 elk3	potassium voltage-gated channel subfamily H member 8	Homo sapiens
dd_Smed_v6_1492_0_1	2905	PLDB	0	ACTN1 BDPLT15	actinin alpha 1	Homo sapiens
dd_Smed_v6_14987_0_1	2296	PLDB	5.00E-150	KCNA2 HBK5 HK4 HUKIV KV1.2 MK2 NGK1 RBK2	"potassium voltage-gated channel, shaker-related subfamily, member 2"	Homo sapiens
dd_Smed_v6_15033_0_1	3215	PLDB	1.00E-73	PCDH18 PCDH68L	protocadherin 18	Homo sapiens
dd_Smed_v6_1504_0_1	862	PLDB	1.00E-43	CHP1 CHP SLC9A1BP Sid470p p22 p24	calcineurin like EF-hand protein 1	Homo sapiens
dd_Smed_v6_15107_0_1	1176	PLDB	5.00E-48	GCM2 GCMB hGCMb	glial cells missing homolog 2	Homo sapiens
dd_Smed_v6_15108_0_1	1546	PLDB	6.00E-71	KCNN2 KCa2.2 SK2 SKCA2 SKCa 2 hSK2	potassium calcium-activated channel subfamily N member 2	Homo sapiens
dd_Smed_v6_1510_0_1	2205	PLDB	1.00E-43	LRP4 CLSS LRP-4 LRP10 MEGF7 SOST2	low density lipoprotein receptor-related protein 4	Homo sapiens
dd_Smed_v6_15172_0_1	1720	PLDB	6.00E-114	KCNB1 DRK1 KV2.1 h-DRK1	"potassium voltage-gated channel, Shab-related subfamily, member 1"	Homo sapiens
dd_Smed_v6_1518_0_1	3134	PLDB	4.00E-48	CLSTN1 ALC-ALPHA CDHR12 CSTN1 PIK3CD XB31alpha alcalpha1 alcalpha2	calsyntenin 1	Homo sapiens
dd_Smed_v6_1521_0_1	961	PLDB	3.00E-44	TMBIM4 GAAP LFG4 S1R ZPRO	transmembrane BAX inhibitor motif containing 4	Homo sapiens
dd_Smed_v6_15254_0_1	1246	PLDB	4.00E-68	LCP1 CP64 HEL-S-37 L-PLASTIN LC64P LPL PLS2	lymphocyte cytosolic protein 1 (L-plastin)	Homo sapiens
dd_Smed_v6_15320_0_1	2295	PLDB	1.00E-45	CAPN5 ADNIV HTRA3 VRNI nCL-3	calpain 5	Homo sapiens
dd_Smed_v6_1532_0_1	3471	PLDB	0	PYGM	"phosphorylase, glycogen, muscle"	Homo sapiens
dd_Smed_v6_15356_0_1	5735	PLDB	9.00E-114	LOC100653137	cadherin-23-like	Homo sapiens
dd_Smed_v6_15419_0_1	3537	PLDB	0	GRM3 GLUR3 GPRC1C MGLUR3 mGlu3	glutamate metabotropic receptor 3	Homo sapiens
dd_Smed_v6_15425_0_1	2046	PLDB	2.00E-171	KCNA1 AEMK EA1 HBK1 HUK1 KV1.1 MBK1 MK1 RBK1	potassium voltage-gated channel subfamily A member 1	Homo sapiens
dd_Smed_v6_15425_0_2	1900	PLDB	3.00E-171	KCNA1 AEMK EA1 HBK1 HUK1 KV1.1 MBK1 MK1 RBK1	potassium voltage-gated channel subfamily A member 1	Homo sapiens
dd_Smed_v6_15437_0_1	4422	PLDB	2.00E-53	RIMS2 OBOE RAB3IP3 RIM2	regulating synaptic membrane exocytosis 2	Homo sapiens
dd_Smed_v6_15469_0_1	1558	PLDB	6.00E-104	WNT5B	Wnt family member 5B	Homo sapiens
dd_Smed_v6_15474_0_1	2608	PLDB	0	PRKG1 1 AAT8 PKG PRKG1B PRKGR1B cGK cGK 1 cGK1 cGKI cGKI-BETA cGKI-alpha	"protein kinase, cGMP-dependent, type I"	Homo sapiens
dd_Smed_v6_15492_0_1	2354	PLDB	2.00E-171	KCND2 KV4.2 RK5	potassium voltage-gated channel subfamily D member 2	Homo sapiens
dd_Smed_v6_15492_0_2	2268	PLDB	8.00E-172	KCND2 KV4.2 RK5	potassium voltage-gated channel subfamily D member 2	Homo sapiens
dd_Smed_v6_15525_0_1	8695	PLDB	5.00E-85	PKD1L2 PC1L2	polycystic kidney disease 1-like 2	Homo sapiens
dd_Smed_v6_15525_0_2	8677	PLDB	5.00E-85	PKD1L2 PC1L2	polycystic kidney disease 1-like 2	Homo sapiens
dd_Smed_v6_15529_0_1	757	PLDB	5.00E-21	GLIPR2 C9orf19 GAPR-1 GAPR1	GLI pathogenesis related 2	Homo sapiens
dd_Smed_v6_1554_0_1	888	PLDB	2.00E-69	CAPSL	calcyphosine like	Homo sapiens
dd_Smed_v6_15620_0_1	2377	PLDB	8.00E-134	KCNN3 KCa2.3 SK3 SKCA3 hSK3	potassium calcium-activated channel subfamily N member 3	Homo sapiens
dd_Smed_v6_15626_0_1	1555	PLDB	4.00E-93	PKD2L1 PCL PKD2L PKDL TRPP3	"polycystin 2 like 1, transient receptor potential cation channel"	Homo sapiens
dd_Smed_v6_15627_0_1	3331	PLDB	0	TRPC4 HTRP-4 HTRP4 TRP4	"transient receptor potential cation channel, subfamily C, member 4"	Homo sapiens
dd_Smed_v6_15627_0_2	1933	PLDB	1.00E-114	TRPC4 HTRP-4 HTRP4 TRP4	transient receptor potential cation channel subfamily C member 4	Homo sapiens
dd_Smed_v6_15638_0_1	955	PLDB	1.00E-26	GLIPR2 C9orf19 GAPR-1 GAPR1	GLI pathogenesis related 2	Homo sapiens
dd_Smed_v6_15643_0_1	3133	PLDB	3.00E-67	PCDH9	protocadherin 9	Homo sapiens
dd_Smed_v6_1566_0_1	2624	PLDB	0	PCSK2 NEC 2 NEC-2 NEC2 PC2 SPC2	proprotein convertase subtilisin/kexin type 2	Homo sapiens
dd_Smed_v6_15695_0_1	2368	PLDB	3.00E-21	KCNK18 K2p18.1 MGR13 TRESK TRESK-2 TRESK2 TRIK	potassium two pore domain channel subfamily K member 18	Homo sapiens
dd_Smed_v6_15742_0_1	1299	PLDB	9.00E-58	RASGRP3 GRP3	RAS guanyl releasing protein 3 (calcium and DAG-regulated)	Homo sapiens
dd_Smed_v6_15742_0_2	1287	PLDB	6.00E-60	RASGRP3 GRP3	RAS guanyl releasing protein 3 (calcium and DAG-regulated)	Homo sapiens
dd_Smed_v6_15742_1_1	1503	PLDB	1.00E-50	RASGRP3 GRP3	RAS guanyl releasing protein 3 (calcium and DAG-regulated)	Homo sapiens
dd_Smed_v6_15762_0_1	823	PLDB	1.00E-05	KCNMB4	potassium calcium-activated channel subfamily M regulatory beta subunit 4	Homo sapiens
dd_Smed_v6_15809_0_1	789	PLDB	2.00E-06	KCNMB2	"potassium large conductance calcium-activated channel, subfamily M, beta member 2"	Homo sapiens
dd_Smed_v6_15810_0_1	2842	PLDB	2.00E-98	KCNMA1 BKTM KCa1.1 MaxiK SAKCA SLO SLO-ALPHA SLO1 bA205K10.1 mSLO1	"potassium large conductance calcium-activated channel, subfamily M, alpha member 1"	Homo sapiens
dd_Smed_v6_15844_0_1	2844	PLDB	9.00E-19	CCDC33 CT61	coiled-coil domain containing 33	Homo sapiens
dd_Smed_v6_15844_0_2	2797	PLDB	9.00E-19	CCDC33 CT61	coiled-coil domain containing 33	Homo sapiens
dd_Smed_v6_1586_0_1	1302	PLDB	8.00E-62	TMBIM1 LFG3 MST100 MSTP100 RECS1	transmembrane BAX inhibitor motif containing 1	Homo sapiens
dd_Smed_v6_15876_0_1	2453	PLDB	0	KCND1 KV4.1	potassium voltage-gated channel subfamily D member 1	Homo sapiens
dd_Smed_v6_15909_0_1	1608	PLDB	2.00E-53	LOC400891	leucine-rich repeat-containing protein LOC400891	Homo sapiens
dd_Smed_v6_15912_0_1	1697	PLDB	3.00E-40	KCNC2 KV3.2	potassium voltage-gated channel subfamily C member 2	Homo sapiens
dd_Smed_v6_1591_0_1	2944	PLDB	2.00E-129	EPS15L1 EPS15R	epidermal growth factor receptor pathway substrate 15 like 1	Homo sapiens
dd_Smed_v6_15923_0_3	2281	PLDB	9.00E-148	KCNQ1 ATFB1 ATFB3 JLNS1 KCNA8 KCNA9 KVLQT1 Kv1.9 Kv7.1 LQT LQT1 RWS SQT2 WRS	"potassium voltage-gated channel, KQT-like subfamily, member 1"	Homo sapiens
dd_Smed_v6_15923_0_5	1840	PLDB	0	KCNQ1 ATFB1 ATFB3 JLNS1 KCNA8 KCNA9 KVLQT1 Kv1.9 Kv7.1 LQT LQT1 RWS SQT2 WRS	"potassium voltage-gated channel, KQT-like subfamily, member 1"	Homo sapiens
dd_Smed_v6_15923_0_6	1676	PLDB	0	KCNQ1 ATFB1 ATFB3 JLNS1 KCNA8 KCNA9 KVLQT1 Kv1.9 Kv7.1 LQT LQT1 RWS SQT2 WRS	"potassium voltage-gated channel, KQT-like subfamily, member 1"	Homo sapiens
dd_Smed_v6_159_0_1	700	PLDB	7.00E-28	PI16 CRISP9 MSMBBP PSPBP	peptidase inhibitor 16	Homo sapiens
dd_Smed_v6_16065_0_1	2249	PLDB	1.00E-27	PCDHGB1 PCDH-GAMMA-B1	"protocadherin gamma subfamily B, 1"	Homo sapiens
dd_Smed_v6_1608_0_1	2698	PLDB	3.00E-62	CCAR1	cell division cycle and apoptosis regulator 1	Homo sapiens
dd_Smed_v6_160_0_1	497	PLDB	5.00E-30	DBI ACBD1 ACBP CCK-RP EP	"diazepam binding inhibitor (GABA receptor modulator, acyl-CoA binding protein)"	Homo sapiens
dd_Smed_v6_16123_0_1	1960	PLDB	3.00E-170	PPEF1 PP7 PPEF PPP7C PPP7CA	protein phosphatase with EF-hand domain 1	Homo sapiens
dd_Smed_v6_16123_0_2	1805	PLDB	1.00E-153	PPEF1 PP7 PPEF PPP7C PPP7CA	protein phosphatase with EF-hand domain 1	Homo sapiens
dd_Smed_v6_1612_0_1	2888	PLDB	4.00E-36	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_1615_0_1	1485	PLDB	0	GNB4 CMTD1F	G protein subunit beta 4	Homo sapiens
dd_Smed_v6_16185_0_1	590	PLDB	2.00E-33	CALM2 CAMII PHKD PHKD2	"calmodulin 2 (phosphorylase kinase, delta)"	Homo sapiens
dd_Smed_v6_16189_0_1	1515	PLDB	3.00E-45	BEST1 ARB BEST BMD RP50 TU15B VMD2	bestrophin 1	Homo sapiens
